证券代码	时间	红股(10送)	配股(10配)	配股价	红利(10送)
SZ000011	20160524	0.0000	0.0000	0.0000	0.8000
SZ000011	20150609	0.0000	0.0000	0.0000	2.2000
SZ000011	20140620	0.0000	0.0000	0.0000	2.5000
SZ000011	20091123	1.0000	0.0000	0.0000	0.1120
SZ000011	20091103	3.9000	0.0000	0.0000	0.0000
SZ000011	19960820	1.0000	0.0000	0.0000	1.0000
SZ000011	19950824	1.0000	0.0000	0.0000	1.5000
SZ000011	19940506	3.0000	0.0000	0.0000	1.0000
SZ000011	19930719	3.0000	1.0000	8.5000	0.8000
SZ000012	20180627	1.5000	0.0000	0.0000	0.5000
SZ000012	20170719	1.5000	0.0000	0.0000	1.0000
SZ000012	20160519	0.0000	0.0000	0.0000	3.0000
SZ000012	20150508	0.0000	0.0000	0.0000	5.0000
SZ000012	20140508	0.0000	0.0000	0.0000	3.0000
SZ000012	20130530	0.0000	0.0000	0.0000	1.5000
SZ000012	20120525	0.0000	0.0000	0.0000	1.8000
SZ000012	20110603	0.0000	0.0000	0.0000	3.5000
SZ000012	20100514	7.0000	0.0000	0.0000	3.5000
SZ000012	20090703	0.0000	0.0000	0.0000	1.0000
SZ000012	20080610	0.0000	0.0000	0.0000	1.5000
SZ000012	20070619	0.0000	0.0000	0.0000	4.5000
SZ000012	20060616	0.0000	0.0000	0.0000	1.8000
SZ000012	20060524	3.5500	0.0000	0.0000	0.0000
SZ000012	20050527	5.0000	0.0000	0.0000	2.5000
SZ000012	20040624	0.0000	0.0000	0.0000	1.8000
SZ000012	20030618	0.0000	0.0000	0.0000	1.5000
SZ000012	20020701	0.0000	0.0000	0.0000	1.3000
SZ000012	20010626	0.0000	0.0000	0.0000	1.2000
SZ000012	19971103	1.1850	0.0000	0.0000	0.3950
SZ000012	19970730	0.0000	1.9350	4.0000	0.0000
SZ000012	19960724	3.0000	0.0000	0.0000	0.5000
SZ000012	19950721	3.0000	0.0000	0.0000	1.0000
SZ000012	19940511	3.0000	0.0000	0.0000	1.0000
SZ000012	19930524	3.0000	5.0000	7.9500	0.7000
SZ000013	19980925	0.0000	0.0000	0.0000	0.5000
SZ000013	19960806	0.0000	0.0000	0.0000	0.8000
SZ000013	19950913	2.0000	0.0000	0.0000	1.0000
SZ000013	19940627	3.0000	0.0000	0.0000	1.0000
SZ000013	19930614	2.0000	2.0000	7.0000	0.5700
SZ000014	20180622	0.0000	0.0000	0.0000	0.1000
SZ000014	20170619	0.0000	0.0000	0.0000	0.1500
SZ000014	20160620	0.0000	0.0000	0.0000	0.3700
SZ000014	20150617	0.0000	0.0000	0.0000	0.1900
SZ000014	20140610	0.0000	0.0000	0.0000	0.1500
SZ000014	20130614	0.0000	0.0000	0.0000	0.2500
SZ000014	20120618	0.0000	0.0000	0.0000	0.2000
SZ000014	20110718	0.0000	0.0000	0.0000	0.3500
SZ000014	20100813	0.0000	0.0000	0.0000	0.3000
SZ000014	20090717	0.0000	0.0000	0.0000	0.3000
SZ000014	20080717	5.0000	0.0000	0.0000	0.2500
SZ000014	20070711	0.0000	0.0000	0.0000	0.0600
SZ000014	20060721	5.0000	0.0000	0.0000	0.3500
SZ000014	20060306	2.7000	0.0000	0.0000	0.0000
SZ000014	20050608	0.0000	0.0000	0.0000	0.3000
SZ000014	20040521	0.0000	0.0000	0.0000	0.3200
SZ000014	20030429	0.0000	0.0000	0.0000	0.3000
SZ000014	19960801	0.0000	0.0000	0.0000	0.8500
SZ000014	19950809	2.5000	0.0000	0.0000	1.0000
SZ000014	19940531	5.0000	0.0000	0.0000	1.0000
SZ000014	19930517	3.0000	5.0000	9.1800	0.8000
SZ000016	20180606	0.0000	0.0000	0.0000	1.6200
SZ000016	20150925	10.0000	0.0000	0.0000	0.0000
SZ000016	20150720	0.0000	0.0000	0.0000	0.1000
SZ000016	20140529	0.0000	0.0000	0.0000	0.1000
SZ000016	20130614	0.0000	0.0000	0.0000	0.1000
SZ000016	20120709	0.0000	0.0000	0.0000	0.1000
SZ000016	20110711	0.0000	0.0000	0.0000	0.1000
SZ000016	20100715	0.0000	0.0000	0.0000	0.1000
SZ000016	20090710	0.0000	0.0000	0.0000	0.5000
SZ000016	20080603	10.0000	0.0000	0.0000	0.0000
SZ000016	20070801	0.0000	0.0000	0.0000	1.0000
SZ000016	20060330	2.5000	0.0000	0.0000	0.0000
SZ000016	20010625	0.0000	0.0000	0.0000	1.5000
SZ000016	20000726	1.0000	0.0000	0.0000	4.0000
SZ000016	19991021	0.0000	0.0000	0.0000	3.0000
SZ000016	19990823	2.0000	0.0000	0.0000	3.0000
SZ000016	19980716	0.0000	3.0000	10.5000	0.0000
SZ000016	19980622	0.0000	0.0000	0.0000	5.6000
SZ000016	19970714	0.0000	0.0000	0.0000	5.2000
SZ000016	19960717	0.0000	3.0000	6.2800	0.0000
SZ000016	19960705	0.0000	0.0000	0.0000	5.1500
SZ000016	19951030	0.0000	0.0000	0.0000	4.0000
SZ000016	19940613	5.0000	0.0000	0.0000	1.1000
SZ000016	19930503	3.5000	0.0000	0.0000	0.9000
SZ000017	20100318	5.1490	0.0000	0.0000	0.0000
SZ000017	19951129	2.0000	0.0000	0.0000	0.6000
SZ000017	19940920	2.5000	0.0000	0.0000	0.6250
SZ000017	19931213	0.0000	2.0000	8.7000	0.0000
SZ000017	19930906	3.0000	0.0000	0.0000	0.8100
SZ000018	20180712	0.0000	0.0000	0.0000	0.4000
SZ000018	20170714	0.0000	0.0000	0.0000	0.6000
SZ000018	20160607	28.0000	0.0000	0.0000	0.0000
SZ000018	20060616	3.5000	0.0000	0.0000	0.0000
SZ000018	19960806	0.0000	0.0000	0.0000	0.4500
SZ000018	19950809	1.0000	0.0000	0.0000	0.6000
SZ000018	19940706	1.0000	0.0000	0.0000	0.5000
SZ000018	19930517	1.0000	0.0000	0.0000	0.6000
SZ000019	20170628	1.0000	0.0000	0.0000	0.5000
SZ000019	20160622	5.0000	0.0000	0.0000	0.0000
SZ000019	20140514	2.0000	0.0000	0.0000	0.0000
SZ000019	20130709	0.0000	0.0000	0.0000	2.0000
SZ000019	20060727	3.8000	0.0000	0.0000	0.0000
SZ000019	20020527	0.0000	0.0000	0.0000	0.5000
SZ000019	20010704	0.0000	0.0000	0.0000	0.9160
SZ000019	20001222	0.0000	3.0000	5.0000	0.0000
SZ000019	19990709	0.0000	0.0000	0.0000	1.0000
SZ000019	19980727	0.0000	0.0000	0.0000	1.0000
SZ000019	19970715	2.0000	0.0000	0.0000	0.0000
SZ000019	19950104	1.0000	1.0000	2.3000	0.2500
SZ000019	19930628	1.0000	0.0000	0.0000	0.1000
SZ000020	20070518	1.5000	0.0000	0.0000	0.0000
SZ000020	19980106	1.7640	0.0000	0.0000	0.0000
SZ000020	19971028	0.0000	3.0000	4.0000	0.0000
SZ000020	19971014	0.0000	0.0000	0.0000	1.4000
SZ000020	19960911	0.0000	0.0000	0.0000	1.0000
SZ000020	19950726	0.0000	0.0000	0.0000	1.0000
SZ000020	19940706	0.0000	0.0000	0.0000	1.2000
SZ000020	19930426	1.0000	0.0000	0.0000	0.3000
SZ000021	20180628	0.0000	0.0000	0.0000	0.5000
SZ000021	20170622	0.0000	0.0000	0.0000	0.5000
SZ000021	20160616	0.0000	0.0000	0.0000	0.5000
SZ000021	20150618	0.0000	0.0000	0.0000	0.5000
SZ000021	20140619	0.0000	0.0000	0.0000	0.5000
SZ000021	20130619	0.0000	0.0000	0.0000	0.2000
SZ000021	20120625	0.0000	0.0000	0.0000	1.0000
SZ000021	20110620	0.0000	0.0000	0.0000	1.5000
SZ000021	20100610	5.0000	0.0000	0.0000	2.0000
SZ000021	20090624	0.0000	0.0000	0.0000	1.5000
SZ000021	20080613	0.0000	0.0000	0.0000	4.0000
SZ000021	20070615	0.0000	0.0000	0.0000	4.0000
SZ000021	20060615	2.0000	0.0000	0.0000	1.5000
SZ000021	20060522	3.0000	0.0000	0.0000	0.0000
SZ000021	20050622	0.0000	0.0000	0.0000	1.5000
SZ000021	20040701	0.0000	0.0000	0.0000	1.0000
SZ000021	20030718	0.0000	0.0000	0.0000	1.0000
SZ000021	20020711	0.0000	0.0000	0.0000	0.6000
SZ000021	20010525	0.0000	0.0000	0.0000	0.5000
SZ000021	20000613	0.0000	0.0000	0.0000	0.3000
SZ000021	19990510	3.0000	0.0000	0.0000	3.0000
SZ000021	19981124	0.0000	3.0000	18.0000	0.0000
SZ000021	19980623	0.0000	0.0000	0.0000	1.2000
SZ000021	19970620	10.0000	0.0000	0.0000	2.0000
SZ000021	19960611	3.0000	0.0000	0.0000	1.5000
SZ000021	19960418	0.0000	3.0000	3.6800	0.0000
SZ000021	19951122	0.0000	0.0000	0.0000	0.5000
SZ000021	19940831	2.5000	0.0000	0.0000	0.4000
SZ000022	20180523	0.0000	0.0000	0.0000	13.1900
SZ000022	20170801	0.0000	0.0000	0.0000	4.9600
SZ000022	20160728	0.0000	0.0000	0.0000	4.1000
SZ000022	20150722	0.0000	0.0000	0.0000	3.2400
SZ000022	20140716	0.0000	0.0000	0.0000	3.9000
SZ000022	20130717	0.0000	0.0000	0.0000	3.6300
SZ000022	20120720	0.0000	0.0000	0.0000	4.0000
SZ000022	20110722	0.0000	0.0000	0.0000	4.6300
SZ000022	20100806	0.0000	0.0000	0.0000	3.2500
SZ000022	20090717	0.0000	0.0000	0.0000	5.0000
SZ000022	20080725	0.0000	0.0000	0.0000	6.7800
SZ000022	20070705	0.0000	0.0000	0.0000	5.7600
SZ000022	20060619	0.0000	0.0000	0.0000	7.4700
SZ000022	20060530	1.0000	0.0000	0.0000	11.5000
SZ000022	20050706	3.0000	0.0000	0.0000	6.3700
SZ000022	20040622	3.0000	0.0000	0.0000	4.9600
SZ000022	20030724	0.0000	0.0000	0.0000	2.8800
SZ000022	20020708	0.0000	0.0000	0.0000	1.0200
SZ000022	20010716	0.0000	0.0000	0.0000	1.2900
SZ000022	20000724	0.0000	0.0000	0.0000	1.1600
SZ000022	19990721	0.0000	0.0000	0.0000	0.8700
SZ000022	19980720	0.0000	0.0000	0.0000	1.4600
SZ000022	19970704	0.0000	0.0000	0.0000	1.6900
SZ000022	19960624	0.0000	0.0000	0.0000	1.9500
SZ000022	19950530	0.0000	0.0000	0.0000	1.9700
SZ000022	19940613	1.0000	0.0000	0.0000	0.8100
SZ000023	20180816	0.0000	0.0000	0.0000	0.5000
SZ000023	20170815	0.0000	0.0000	0.0000	0.4000
SZ000023	20160817	0.0000	0.0000	0.0000	0.5000
SZ000023	20150813	0.0000	0.0000	0.0000	0.4000
SZ000023	20140808	0.0000	0.0000	0.0000	0.4000
SZ000023	20130606	0.0000	0.0000	0.0000	0.3000
SZ000023	20120816	0.0000	0.0000	0.0000	0.3000
SZ000023	20100806	0.0000	0.0000	0.0000	0.4490
SZ000023	20090825	0.0000	0.0000	0.0000	1.0960
SZ000023	20080808	0.0000	0.0000	0.0000	1.1615
SZ000023	20070621	0.0000	0.0000	0.0000	0.1000
SZ000023	20060317	3.1000	0.0000	0.0000	0.0000
SZ000023	20010827	0.0000	0.0000	0.0000	0.5060
SZ000023	20000711	0.0000	0.0000	0.0000	0.5600
SZ000023	19990816	0.5000	0.0000	0.0000	0.6600
SZ000023	19980709	1.5000	0.0000	0.0000	0.4000
SZ000023	19960815	0.5000	0.0000	0.0000	0.1200
SZ000023	19950815	2.0000	0.0000	0.0000	0.7500
SZ000023	19940608	2.0000	0.0000	0.0000	0.4400
SZ000025	20060104	4.0000	0.0000	0.0000	0.0000
SZ000025	19950711	1.0000	0.0000	0.0000	0.5000
SZ000025	19940520	2.0000	0.0000	0.0000	0.5000
SZ000026	20180730	0.0000	0.0000	0.0000	2.0000
SZ000026	20170622	0.0000	0.0000	0.0000	1.0000
SZ000026	20160624	0.0000	0.0000	0.0000	1.0000
SZ000026	20150806	0.0000	0.0000	0.0000	1.0000
SZ000026	20140731	0.0000	0.0000	0.0000	1.0000
SZ000026	20130813	0.0000	0.0000	0.0000	1.0000
SZ000026	20120601	0.0000	0.0000	0.0000	1.0000
SZ000026	20110427	4.0000	0.0000	0.0000	1.0000
SZ000026	20100804	0.0000	0.0000	0.0000	1.0000
SZ000026	20090715	0.0000	0.0000	0.0000	1.0000
SZ000026	20080626	0.0000	0.0000	0.0000	1.0000
SZ000026	20071109	3.1000	0.0000	0.0000	0.0000
SZ000026	20020719	0.0000	0.0000	0.0000	0.5000
SZ000026	20000726	0.0000	0.0000	0.0000	1.0000
SZ000026	19990810	0.0000	0.0000	0.0000	1.8000
SZ000026	19980826	0.0000	0.0000	0.0000	1.0000
SZ000026	19980108	5.0000	0.0000	0.0000	0.0000
SZ000026	19971030	0.0000	2.0000	8.0000	0.0000
SZ000026	19970715	0.0000	0.0000	0.0000	1.0000
SZ000026	19960624	2.0000	0.0000	0.0000	2.0000
SZ000026	19960102	2.0000	3.0000	6.0000	3.0000
SZ000026	19940706	5.0000	0.0000	0.0000	1.0000
SZ000027	20180622	0.0000	0.0000	0.0000	0.8000
SZ000027	20170629	0.0000	0.0000	0.0000	1.5000
SZ000027	20160628	0.0000	0.0000	0.0000	2.0000
SZ000027	20150625	5.0000	0.0000	0.0000	2.0000
SZ000027	20140523	0.0000	0.0000	0.0000	2.5000
SZ000027	20130531	0.0000	0.0000	0.0000	1.0000
SZ000027	20120614	0.0000	0.0000	0.0000	1.0000
SZ000027	20110616	2.0000	0.0000	0.0000	1.0000
SZ000027	20100713	0.0000	0.0000	0.0000	3.0000
SZ000027	20090715	0.0000	0.0000	0.0000	1.0000
SZ000027	20080724	0.0000	0.0000	0.0000	3.6000
SZ000027	20070716	0.0000	0.0000	0.0000	3.5000
SZ000027	20060706	0.0000	0.0000	0.0000	5.0000
SZ000027	20060426	1.3500	0.0000	0.0000	2.6000
SZ000027	20050707	0.0000	0.0000	0.0000	3.0000
SZ000027	20040712	0.0000	0.0000	0.0000	3.0000
SZ000027	20030905	0.0000	0.0000	0.0000	1.5000
SZ000027	20020801	2.0000	0.0000	0.0000	3.0000
SZ000027	20000908	0.0000	2.5000	5.8000	0.0000
SZ000027	20000803	0.0000	0.0000	0.0000	2.2000
SZ000027	19990616	0.0000	0.0000	0.0000	1.0000
SZ000027	19971104	10.0000	0.0000	0.0000	0.0000
SZ000027	19970731	0.0000	0.0000	0.0000	0.9000
SZ000027	19970303	0.0000	2.5900	3.9800	0.0000
SZ000027	19960813	0.5000	0.0000	0.0000	1.5000
SZ000027	19950821	1.0000	0.0000	0.0000	1.0000
SZ000027	19940630	1.0000	0.0000	0.0000	0.6300
SZ000028	20180613	0.0000	0.0000	0.0000	3.0000
SZ000028	20170620	0.0000	0.0000	0.0000	3.3000
SZ000028	20160530	0.0000	0.0000	0.0000	3.0000
SZ000028	20150522	0.0000	0.0000	0.0000	2.0000
SZ000028	20140528	0.0000	0.0000	0.0000	1.8000
SZ000028	20130607	0.0000	0.0000	0.0000	1.8000
SZ000028	20120619	0.0000	0.0000	0.0000	1.3000
SZ000028	20110616	0.0000	0.0000	0.0000	1.2000
SZ000028	20100617	0.0000	0.0000	0.0000	1.0000
SZ000028	20090610	0.0000	0.0000	0.0000	1.0000
SZ000028	20070710	0.0000	0.0000	0.0000	0.9000
SZ000028	20060713	0.0000	0.0000	0.0000	0.3800
SZ000028	20060428	3.0000	0.0000	0.0000	0.0000
SZ000028	20000911	8.0000	0.0000	0.0000	0.0000
SZ000028	19970729	0.0000	0.0000	0.0000	1.1800
SZ000028	19961112	2.0000	0.0000	0.0000	0.0000
SZ000028	19960716	0.5000	0.0000	0.0000	0.5500
SZ000028	19950906	1.0000	0.0000	0.0000	0.2500
SZ000028	19940831	1.0000	0.0000	0.0000	0.2500
SZ000029	20151110	0.0000	0.0000	0.0000	1.3000
SZ000029	20060217	4.8000	0.0000	0.0000	0.0000
SZ000029	19960815	0.0000	0.0000	0.0000	2.0000
SZ000029	19950802	2.0000	0.0000	0.0000	1.0000
SZ000029	19940627	1.0000	0.0000	0.0000	2.0000
SZ000030	20180726	4.0000	0.0000	0.0000	2.0000
SZ000030	20170628	0.0000	0.0000	0.0000	2.0000
SZ000030	20160628	0.0000	0.0000	0.0000	1.5000
SZ000030	20150626	0.0000	0.0000	0.0000	1.0000
SZ000030	20140630	0.0000	0.0000	0.0000	1.0000
SZ000030	20081229	5.0000	0.0000	0.0000	0.0000
SZ000030	19951218	1.0000	0.0000	0.0000	1.3000
SZ000030	19940630	2.0000	0.0000	0.0000	0.9000
SZ000031	20180710	0.0000	0.0000	0.0000	0.5500
SZ000031	20170602	0.0000	0.0000	0.0000	0.4000
SZ000031	20160729	0.0000	0.0000	0.0000	0.4000
SZ000031	20150629	0.0000	0.0000	0.0000	0.3500
SZ000031	20140703	0.0000	0.0000	0.0000	0.3000
SZ000031	20130628	0.0000	0.0000	0.0000	0.3000
SZ000031	20120619	0.0000	0.0000	0.0000	0.3000
SZ000031	20110727	0.0000	0.0000	0.0000	0.2000
SZ000031	20100519	0.0000	0.0000	0.0000	0.2000
SZ000031	20090716	0.0000	0.0000	0.0000	0.2000
SZ000031	20080723	10.0000	0.0000	0.0000	0.5000
SZ000031	20070821	0.0000	3.0000	6.5000	0.0000
SZ000031	20060518	5.0000	0.0000	0.0000	0.0000
SZ000031	20060214	2.6000	0.0000	0.0000	2.7000
SZ000031	20040817	0.0000	0.0000	0.0000	2.0000
SZ000031	20030702	0.0000	0.0000	0.0000	0.6000
SZ000031	19990817	0.0000	0.0000	0.0000	0.8000
SZ000031	19970722	2.5000	0.0000	0.0000	0.8000
SZ000031	19970306	0.0000	2.4000	3.8000	0.0000
SZ000031	19960701	2.5000	0.0000	0.0000	1.2000
SZ000031	19950802	2.0000	0.0000	0.0000	0.8000
SZ000031	19940608	1.0000	0.0000	0.0000	1.5000
SZ000032	20180713	0.0000	0.0000	0.0000	0.2000
SZ000032	20170523	0.0000	0.0000	0.0000	0.2000
SZ000032	20160616	2.0000	0.0000	0.0000	0.2000
SZ000032	20150528	0.0000	0.0000	0.0000	0.5000
SZ000032	20140728	0.0000	0.0000	0.0000	0.3000
SZ000032	20130809	0.0000	0.0000	0.0000	1.8000
SZ000032	20110617	0.0000	0.0000	0.0000	0.8000
SZ000032	20100618	0.0000	0.0000	0.0000	1.0000
SZ000032	20090618	0.0000	0.0000	0.0000	1.7000
SZ000032	20080627	2.0000	0.0000	0.0000	1.2000
SZ000032	20070523	0.0000	0.0000	0.0000	1.5000
SZ000032	20060630	0.0000	0.0000	0.0000	1.1000
SZ000032	20060207	3.2000	0.0000	0.0000	0.0000
SZ000032	20050713	0.0000	0.0000	0.0000	0.8000
SZ000032	20040810	0.0000	0.0000	0.0000	1.2000
SZ000032	20030613	3.0000	0.0000	0.0000	2.0000
SZ000032	20020627	0.0000	0.0000	0.0000	1.0000
SZ000032	20010625	0.0000	0.0000	0.0000	1.0000
SZ000032	20000728	0.0000	0.0000	0.0000	0.8000
SZ000032	19980827	0.0000	0.0000	0.0000	0.3700
SZ000032	19970821	0.0000	0.0000	0.0000	0.6000
SZ000032	19960829	0.0000	0.0000	0.0000	0.5700
SZ000032	19950824	1.0000	0.0000	0.0000	0.7000
SZ000032	19940608	2.0000	0.0000	0.0000	0.5300
SZ000033	20160415	3.0455	0.0000	0.0000	0.0000
SZ000033	20060413	6.2000	0.0000	0.0000	0.0000
SZ000033	19960805	0.5000	0.0000	0.0000	0.0000
SZ000033	19950620	0.0000	0.0000	0.0000	1.3000
SZ000033	19950509	0.0000	3.0000	2.5000	0.0000
